gene_id,log10mean,stat,log2FC,pvalue,locfdr,qvalue
ENSG00000000003.15,2.4027122077066400,-30.96,-0.3203568156051560,0.04852105190183480,0.47008285118989500,0.12487807779231600
ENSG00000000005.6,1.107582625769630,25.43,0.3810030628532890,0.10718861209964400,0.797647808058284,0.22166109146516300
ENSG00000000419.12,2.446339214043080,-17.85,-0.06934504002692870,0.26003882238757700,1,0.4169292330492780
ENSG00000000457.14,2.517882912056030,13.77,0.10691177089572100,0.3855030734390170,1,0.5472464243537590
ENSG00000000460.17,1.9507269049572900,19.06,0.16229451116418100,0.22894393862365400,1,0.38040700353248300
ENSG00000000938.13,1.6972886172344800,-22.22,-0.16194228443057000,0.16028931922170400,1,0.2957683779635000
ENSG00000000971.16,2.029884064672130,-39.28,-0.9296298208527130,0.011097194620326300,0.1660757407242890,0.041911328329551400
ENSG00000001036.14,2.9013005255108800,13.32,0.13193292390605300,0.4012196700097060,1,0.5623989375485880
ENSG00000001084.13,2.575987501001890,-28.69,-0.19868579731785800,0.06834450247261640,0.5915143402628090,0.16085826172087500
ENSG00000001167.14,2.6220576319491600,-20.44,-0.10861946695447800,0.1966594259832690,1,0.34229909098222200
ENSG00000001460.18,1.820677959530650,29.23,0.3017441796839100,0.06311595877432180,0.5609635854749280,0.15158619158619200
ENSG00000001461.17,2.5156960325580900,-62.88,-0.965273826926754,3.69737024541295E-06,3.37107528920289E-04,1.0126582278481E-04
ENSG00000001497.16,2.686780864566900,-39.04,-0.20333508145941400,0.01166335443915520,0.1722119805251540,0.04348785111149410
ENSG00000001561.7,1.7713939329490800,-15.65,-0.23541050553158700,0.32381429957942400,1,0.48726406565129700
ENSG00000001617.12,3.3259520278879100,32.08,0.4911878047486790,0.04065998058880620,0.4167278697218020,0.10994251437140700
ENSG00000001626.16,1.1927242772818500,-13.19,-0.40875973251786700,0.4058584831538570,1,0.566588812181431
ENSG00000001629.10,2.7686005108538400,-11.71,-0.10682097605326200,0.4605356565143040,1,0.6166219059405940
ENSG00000001630.17,2.42915464675983,-18.62,-0.12090935329112300,0.239969958866756,1,0.3934401757975300
ENSG00000001631.15,2.668280408572600,-12.95,-0.08486346191535970,0.4144812127374410,1,0.5744014603215270
ENSG00000002016.18,2.2604708954633700,20.13,0.15170504771882400,0.20361602810001400,1,0.3507395907969110
ENSG00000002330.13,2.8654438484859400,59.26,0.5284896221437340,3.14276470860101E-05,0.0019779088131128900,5.37549407114625E-04
ENSG00000002549.12,2.6769931733268900,-14.41,-0.16487325955157600,0.3637385034893930,1,0.5265411119288150
ENSG00000002586.20,3.0380461409647600,28.25,0.39492915901335800,0.07282201783981140,0.6170011168028820,0.16821287498665500
ENSG00000002587.10,1.187589155207330,1.89,0.0802746419624043,0.905050607755234,1,0.9456985560438500
ENSG00000002726.20,4.019587414503250,-0.8,0.23921053623598,0.9596145491519160,1,0.9771827936746990
ENSG00000002746.15,1.126782692022650,-24.57,-0.31992042135356300,0.1197430327679440,0.8588039748841900,0.2395414201183430
ENSG00000002822.15,2.312365472432060,-39.07,-0.46910480950404800,0.011595415260895700,0.17148079735825900,0.04329421915444350
ENSG00000002834.18,3.1147413924251600,3.51,0.058638495312998800,0.825015020566622,1,0.8954078049759230
ENSG00000002919.14,2.366461230674300,31.16,0.3142900119333850,0.047067061052826200,0.4604823104569170,0.12224102748769700
ENSG00000002933.9,2.325567785705230,-49.29,-0.7337550309826350,0.001053288348662010,0.02825276232276610,0.007248727735368960
ENSG00000003056.8,3.100370177699090,5.6,0.045866374991194700,0.7242196237925780,1,0.8263428782365660
ENSG00000003137.8,2.1829021974812000,11.78,0.14144726000099100,0.45793779174562100,1,0.6145506419400860
ENSG00000003147.19,2.0997721548089000,-59.71,-1.3269010489259400,2.68059342792439E-05,0.0017580413971914800,4.82529118136439E-04
ENSG00000003393.15,2.4813261496310500,27.8,0.09939756710680750,0.07762351527476080,0.643719968671099,0.17610779070986700
ENSG00000003400.15,2.3395721482818900,-24.5,-0.18219233713916400,0.12080879974118400,0.8638992731154680,0.24118287506920100
ENSG00000003402.20,3.568348412724400,15.64,0.17731749594535000,0.32413966816102000,1,0.48761802127511600
ENSG00000003436.16,4.083551760591150,13.16,0.40410430566181100,0.40693719092295600,1,0.5675088623912340
ENSG00000003509.16,2.1536816800494500,7.92,0.02564435071963270,0.6178569117715030,1,0.7468057650410590
ENSG00000003756.17,3.487324595108590,-4.6,-0.06128428002073610,0.7719304894393860,1,0.8595234664470980
ENSG00000003987.14,2.2317349821097000,-7.69,-0.11113617592497000,0.6280879974118410,1,0.7548289269051320
ENSG00000003989.17,3.80419839818219,-27.41,-0.3697008240231800,0.08204141054674860,0.6678042891610610,0.18332438293917200
ENSG00000004059.11,2.963820803295730,45.23,0.37397513244457900,0.003009197208485470,0.06237862109039970,0.01574226305609280
ENSG00000004139.14,1.9854846294036400,9.32,0.13220364393990500,0.5571571844525580,1,0.6976798425834830
ENSG00000004142.12,2.910838499927600,-14.06,0.035903596968152500,0.3755543744511720,1,0.5379233417185230
ENSG00000004399.12,3.45359903018392,16.15,0.13303716806049000,0.3084951703101170,1,0.4703622013952510
ENSG00000004455.17,3.0599601690413800,4.45,0.08813424725383980,0.7791976706567450,1,0.8639251857545480
ENSG00000004468.13,0.9436202227921,13.54,0.21441717833501100,0.3934967879095990,1,0.55448323021817
